Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
21/11/2014 00:54,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.9
21/11/2014 00:55,0,0,00:00,Turbine in operation,1,FALSE,FALSE,13.9
21/11/2014 01:13,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.7
21/11/2014 01:14,0,2,00:02,Turbine operational,1,FALSE,FALSE,7.2
21/11/2014 01:16,0,1,00:01,Turbine starting,1,FALSE,FALSE,14.8
21/11/2014 01:17,0,0,00:00,Turbine in operation,1,FALSE,FALSE,14
21/11/2014 03:16,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.9
21/11/2014 03:17,0,2,00:02,Turbine operational,1,FALSE,FALSE,9.9
21/11/2014 03:19,0,1,00:01,Turbine starting,1,FALSE,FALSE,9.9
21/11/2014 03:20,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.9
21/11/2014 05:14,80,21,80:21:00,Excitation error : Overvoltage DC-link,6,FALSE,FALSE,12.4
21/11/2014 05:15,0,2,00:02,Turbine operational,1,FALSE,FALSE,10.5
21/11/2014 05:17,0,1,00:01,Turbine starting,1,FALSE,FALSE,12.8
21/11/2014 05:18,0,0,00:00,Turbine in operation,1,FALSE,FALSE,12.1
25/11/2014 20:28,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,0.9
25/11/2014 20:45,0,2,00:02,Turbine operational,1,FALSE,FALSE,1.3
25/11/2014 20:45,0,1,00:01,Turbine starting,1,FALSE,FALSE,1.3
25/11/2014 20:49,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,2.6
25/11/2014 20:56,0,2,00:02,Turbine operational,1,FALSE,FALSE,2.6
25/11/2014 20:56,0,1,00:01,Turbine starting,1,FALSE,FALSE,2.6
25/11/2014 20:59,0,0,00:00,Turbine in operation,1,FALSE,FALSE,2.5
26/11/2014 08:00,17,0,17:00,Test security system,6,FALSE,FALSE,2
26/11/2014 08:00,0,3,00:03,Start lead-up,1,FALSE,FALSE,3.3
26/11/2014 08:01,0,2,00:02,Turbine operational,1,FALSE,FALSE,1.3
26/11/2014 08:02,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
26/11/2014 09:48,0,2,00:02,Turbine operational,1,FALSE,FALSE,2.2
26/11/2014 09:48,0,1,00:01,Turbine starting,1,FALSE,FALSE,2.3
26/11/2014 09:52,0,0,00:00,Turbine in operation,1,FALSE,FALSE,1.6
26/11/2014 10:50,2,1,02:01,Lack of wind : Wind speed to low,1,FALSE,FALSE,1
26/11/2014 12:35,0,2,00:02,Turbine operational,1,FALSE,FALSE,1.2
26/11/2014 12:35,0,1,00:01,Turbine starting,1,FALSE,FALSE,1.7
26/11/2014 12:38,0,0,00:00,Turbine in operation,1,FALSE,FALSE,2.7
26/11/2014 20:58,0,5,00:05,Calibration of  load control,1,FALSE,FALSE,7
26/11/2014 21:04,0,1,00:01,Turbine starting,1,FALSE,FALSE,5.4
26/11/2014 21:05,0,0,00:00,Turbine in operation,1,FALSE,FALSE,6.9
27/11/2014 03:23,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9
27/11/2014 03:26,0,2,00:02,Turbine operational,1,FALSE,FALSE,4.6
27/11/2014 03:28,0,1,00:01,Turbine starting,1,FALSE,FALSE,7.3
27/11/2014 03:30,0,0,00:00,Turbine in operation,1,FALSE,FALSE,10.2
27/11/2014 04:22,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.4
27/11/2014 04:23,0,2,00:02,Turbine operational,1,FALSE,FALSE,6.9
27/11/2014 04:25,0,1,00:01,Turbine starting,1,FALSE,FALSE,7
27/11/2014 04:27,0,0,00:00,Turbine in operation,1,FALSE,FALSE,9.4
27/11/2014 05:01,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8
27/11/2014 05:04,0,2,00:02,Turbine operational,1,FALSE,FALSE,5.5
27/11/2014 05:06,0,1,00:01,Turbine starting,1,FALSE,FALSE,6.3
27/11/2014 05:08,0,0,00:00,Turbine in operation,1,FALSE,FALSE,7.6
